RefSeq_ID,SRA_ID,Run_ID
GCF_009708135.1,SRS5637869,SRR10432414
GCF_014104995.1,SRS6792679,SRR11949420
GCF_002836505.1,SRS2729685,SRR6339880
GCF_014104055.1,SRS6792292,SRR11948806
GCF_021735885.1,SRS7656204,SRR12990483
GCF_022432925.1,SRS6130872,SRR11066759
GCF_001549745.1,SRS1269520,SRR3134553
GCF_014106295.1,SRS6792358,SRR11949053
GCF_025246485.1,SRS15087398,SRR21537813
GCF_014104845.1,SRS6792033,SRR11948753
GCF_016888545.1,SRS7822363,SRR13182324
GCF_014101175.1,SRS6792399,SRR11949011
GCF_014042145.1,SRS6792734,SRR11949363
GCF_003703875.1,SRS4022896,SRR8165042
GCF_014042125.1,SRS6792738,SRR11949359
GCF_001713685.2,SRS1447185,SRR3547546
GCF_002836735.1,SRS2729691,SRR6339873
GCF_014104595.1,SRS6792740,SRR11949360
GCF_014104625.1,SRS6792737,SRR11949361
GCF_001549815.1,SRS1269521,SRR3134554
GCF_000987005.3,SRS880800,SRR1925721
GCF_001549735.1,SRS1269523,SRR3134555
GCF_001549825.1,SRS1269525,SRR3134557
GCF_014103555.1,SRS6792608,SRR11949146
GCF_012393465.1,SRS4704450,SRR8991234
GCF_014105195.1,SRS6792440,SRR11948970
GCF_012241415.1,SRS6336104,SRR11347418
GCF_014104095.1,SRS6792802,SRR11949296
GCF_002863645.1,SRS2729672,SRR6339894
GCF_014103175.1,SRS6792066,SRR11948720
GCF_002836715.1,SRS2729692,SRR6339872
GCF_013346845.1,SRS5084205,SRR9668410
GCF_002836335.1,SRS2729702,SRR6339895
GCF_017693115.1,SRS7827782,SRR13192270
GCF_000986925.1,SRS881065,SRR1925724
GCF_002836235.1,SRS2729686,SRR6339878
GCF_000756325.1,SRS687830,SRR1555607
GCF_014104615.1,SRS6792736,SRR11949362
GCF_014103715.1,SRS6792316,SRR11949094
GCF_002740885.1,SRS2408941,SRR5902254
GCF_014840195.1,SRS7413613,SRR12696647
GCF_024198405.1,SRS13699823,SRR19977204
GCF_014103055.1,SRS6792656,SRR11949442
GCF_900573445.1,ERS2672576,ERR2811649
GCF_900573445.1,ERS2672576,ERR2811650
GCF_014104005.1,SRS6792293,SRR11948805
GCF_014104105.1,SRS6792282,SRR11948816
GCF_002740845.1,SRS2408961,SRR5902273
GCF_905335775.2,ERS5845207,ERR5422656
GCF_905335775.2,ERS5845207,ERR5422657
